Municipios,Nome do Conflito,Familias,Area
Vila Tangara Rica da Serra,T.I. Area Rio Mutum Formoso,100 42,19749
Vila Rica,Fazenda Rancho da Mata Verde,52,2600
Vila Rica,Pontal do Areia,60,5765
Subtotal:,35,5454,1295079
Aquidauana,Faz. Capao das Araras/T. |. Taunay Ipegue,20,2482
Aral Moreira,Faz. Trés Poderes/T. |. Tekoha Guasu-Guaiviry-Jovy,50,
Caarapo,T. |. Guyraroka,32,11400
Caarapo,Com. Tey'i Jucu/Tey'i Jusu/Faz. Nossa Sra. Aparecida,30,
Caarapdo,T. Novilho/Nhandeva/T. |. Pindo Roky/Itagua/Retomada |. Dourados Amambai das Maes/Faz. Pegua,150,
Caarapdo,Dourados Amambai Pegua Faz. Yvu/lvu/Tekoha Torapaso/Kunumi Poty Vera/T. |.,40,
Caarapdo,Faz. Santa Maria/Tekoha Toropaso/T. |. Dourados Amambai,24,
Campo Caarapo Caarap6/ Dois Irmaos Grande Aquidauana do Buriti,Area Acamp. Faz. Pegua Nhamoi Agua da Sebastiao Guaviray/Faz. JBS Branca/Jeroky Bilhar/Billar/BR-262 Agua Guasu Branca,200 150 20 30,3700
Dourados,Sitios Retomados/Imediagées das Aldeias Bororo e Jaguapiru,30,
Dourados,Serrana Com. Apyka'y/Acamp. na BR-463/Km 10/Proximo a Faz.,5,
Dourados,Acamp. Nhu Pora/Nhu Vera/Uvera/Campo Bonito/Curral de,45,
Iguatemi,Tekoha Mbaraka'y-Pyelito Kue/Guarani Kaiowa,20,
Itapora/ Douradina,T. |. Lagoa Rica/Guarani-Kaiowa,50,
Japora Japora,Area Porto em Lindo/lvy Japora - Katu/Guarani - Kaiowa,760 80,1700
Miranda,T. |. Pillad Rebua/Aldeia Moreira,100,208
Miranda,T. |. Pilad Rebua/Aldeia Passarinho,250,
Miranda,Aldeia Mae Terra/T. |. Cachoeirinha,24,
Mundo Novo,Area em Mundo Novo,120,
Nioaque,Acamp. as Margens da MS-419,250,
Nova Andradina,Fazenda Boarete,100,
Rio Brilhante,Faz. Sto. Ant6énio da Nova Esperanga/Com. Laranjeira,45,450
