uf,municipio,nome_conflito,familias,area
Amapá,Porto Grande,Km 117 da EFA,30,2000
Amapá,Porto Grande,Área da Codepa/Km 92,22,2700
Amapá,Porto Grande,Sítio São Francisco/Igarapé Gravata,2,150
Amapá,Porto Grande,Área no Km 54 da BR-156,30,200
Amapá,Pracuúba,Retiro Boa Esperança,2,1000
Amapá,Santana,Ilha Santana,20,20
Amapá,Santana,Assentamento Anauerapucu,1,100
Amapá,Serra do Navio,Ramal da Raquel,20,2000
Amapá,Tartarugalzinho,Faz. Novo Horizonte,5,10744
Amapá,Tartarugalzinho,Ramal Nova Canaã/Colônia de Itaubal/Faz. Santa Isabel/Amcel/Pedreiro/Boca do Braço,27,3000
Amapá,Tartarugalzinho,Uapezal/Ponto do Socorro e Vareiro,70,2761
Amapá,Tartarugalzinho,Campo Belo,1,1200
Amapá,Tartarugalzinho,Área na Margem Direita do Rio Itaubal/São Raimundo,2,100
Amapá,Tartarugalzinho,Redenção do Araguari,5,1192
Amapá,Tartarugalzinho,Comunidade ao Longo do Rio Aporema,1,540
Amapá,Subtotal = 41,,1668,818418
Bahia,Antônio Gonçalves,Mucambo,,
Bahia,Antônio Gonçalves,Com. Brejão da Grota,,
Bahia,Antônio Gonçalves,Com. Baixinha,,
Bahia,Antônio Gonçalves,Com. Olho d' Água,,
Bahia,Antônio Gonçalves,Com. Lagoa Grande,,
Bahia,Antônio Gonçalves,Com. Salgada,,
Bahia,Apuarema,Acamp. Belo Monte/Faz. Bom Prazer,30,
Bahia,Baianópolis/ Santana/ Serra Dourada/ Tabocas do Brejo Velho,Larga da Porteira Santa Cruz/Luiz Martins/Torrada/Cachoeira/Cerc ado,92,18000
Bahia,Barra,Com. Quilombola Igarité,500,19000
Bahia,Barra,Fazenda Encosta,37,3700
Bahia,Barra,Com. Queimadas/Gavião/Cachoeira,56,
Bahia,Barra,Com. Brejo da Cachoeira,80,
Bahia,Belmonte,Fazenda Jaguar Eireli,51,
Bahia,,Faz. Santa Fé/Itapiroca/Acamp. Mãe Terra,160,3700
Bahia,,,70,
Bahia,,Com. Quil. Araçá-Volta/Fiol,152,5000
Bahia,Bom Jesus da Lapa,Com. Quilombola Bebedouro/Fiol,55,5000
Bahia,Brotas de Macaúbas,Com. Mata de Eufrásio,15,
Bahia,Brotas de Macaúbas,Comunidade Mangabeira,50,200
Bahia,Cachoeira,Terreiro Icimimó/Terra Vermelha,,
Bahia,Cachoeira,Quilombo Caimbogo Velho,,
Bahia,Cachoeira,Com. Quilombola Tabuleiro da Vitória,,
Bahia,Caetité,Com. Curral Velho/Fiol,80,
Bahia,Caetité/ Guanambi,Com. Rio Grande/Fiol,,
Bahia,Caetité/ Guanambi,Com. Invernada/Fiol,,
Bahia,Cairu,Com. Cova da Onça/São Sebastião/Ilha de Boipeba/Vazamento de Óleo,190,
Bahia,Cairu,Moreré/Ilha de Boipeba,,
Bahia,Cairu,Velha Boipeba/Ilha de Boipeba,,
Bahia,Cairu,São Francisco/Ilha de Boipeba,,
Bahia,Cairu,Monte Alegre/Ilha de Boipeba,,
Bahia,Camacan,Faz. Guanabara/Com.Terra Sagrada,25,380
Bahia,Camamu,Fazenda São Cosme,150,160
Bahia,Campo Alegre de Lourdes,8 Comunidades de Angico dos Dias,400,
Bahia,Campo Formoso,Com. Santo Antônio,80,
Bahia,Campo Formoso,Comunidade Barreiros,,
Bahia,Campo Formoso,Comunidade Papagaio,,
Bahia,Campo Formoso,Comunidade Ilhote,,
Bahia,Campo Formoso,Comunidade Queimada da Lage,,
Bahia,Campo Formoso,Com. Lagoa do Mato,,
